pathway	gene1	gene2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	AKR1C3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPHX1	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH1A
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH1B
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH1C
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3A1	ADH7
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH1A
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH1B
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH1C
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH1A3	ADH7
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH1A
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH1B
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH1C
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B1	ADH7
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA5	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH1A
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH1B
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH1C
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	ALDH3B2	ADH7
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA1	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA2	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA3	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTA4	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM1	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM2	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM3	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	MGST3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM4	GSTO1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTO2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP1A1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP1A2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP2B6
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP2E1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP2F1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	EPHX1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTA5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTA1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTA2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTA3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTA4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTM1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTM2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTM3
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTM4
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTM5
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTP1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTT1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTT2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTZ1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	CYP2S1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	GSTK1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	MGST1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	MGST2
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	GSTM5	MGST3
