pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1A3	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	FBP1	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH6
